Year,World Population
2020,7794798739.00
2019,7713468100.00
2018,7631091040.00
2017,7547858925.00
2016,7464022049.00
2015,7379797139.00
2014,7295290765.00
2013,7210581976.00
2012,7125828059.00
2011,7041194301.00
2010,6956823603.00
2009,6872767093.00
2008,6789088686.00
2007,6705946610.00
2006,6623517833.00
2005,6541907027.00
2004,6461159389.00
2003,6381185114.00
2002,6301773188.00
2001,6222626606.00
2000,6143493823.00
1999,6064239055.00
1998,5984793942.00
1997,5905045788.00
1996,5824891951.00
1995,5744212979.00
1994,5663150427.00
1993,5581597546.00
1992,5498919809.00
1991,5414289444.00
1990,5327231061.00
1989,5237441558.00
1988,5145426008.00
1987,5052522147.00
1986,4960567912.00
1985,4870921740.00
1984,4784011621.00
1983,4699569304.00
1982,4617386542.00
1981,4536996762.00
1980,4458003514.00
1979,4380506100.00
1978,4304533501.00
1977,4229506060.00
1976,4154666864.00
1975,4079480606.00
1974,4003794172.00
1973,3927780238.00
1972,3851650245.00
1971,3775759617.00
1970,3700437046.00
1969,3625680627.00
1968,3551599127.00
1967,3478769962.00
1966,3407922630.00
1965,3339583597.00
1964,3273978338.00
1963,3211001009.00
1962,3150420795.00
1961,3091843507.00
1960,3034949748.00
1959,2979576185.00
1958,2925686705.00
1957,2873306090.00
1956,2822443282.00
1955,2773019936.00
1954,2724846741.00
1953,2677608960.00
1952,2630861562.00
1951,2584034261.00
1927,2000000000.00
1900,1600000000.00
1850,1200000000.00
1804,1000000000.00
1760,770000000.00
1700,610000000.00
1600,500000000.00
1500,450000000.00
1400,350000000.00
1200,360000000.00
1100,320000000.00
1000,275000000.00
900,240000000.00
800,220000000.00
700,210000000.00
600,200000000.00
200,190000000.00
-200,150000000.00
-500,100000000.00
-1000,50000000.00
-2000,27000000.00
-3000,14000000.00
-4000,7000000.00
-5000,5000000.00
