Macrotrends Data Download

India Population 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,357021100
1951-12-31,364922360,2.21
1952-12-31,372997188,2.21
1953-12-31,381227705,2.21
1954-12-31,389731406,2.23
1955-12-31,398577992,2.27
1956-12-31,407656597,2.28
1957-12-31,416935399,2.28
1958-12-31,426295763,2.25
1959-12-31,435900352,2.25
1960-12-31,445954579,2.31
1961-12-31,456351876,2.33
1962-12-31,467024193,2.34
1963-12-31,477933619,2.34
1964-12-31,489059309,2.33
1965-12-31,500114346,2.26
1966-12-31,510992617,2.18
1967-12-31,521987069,2.15
1968-12-31,533431909,2.19
1969-12-31,545314670,2.23
1970-12-31,557501301,2.23
1971-12-31,569999178,2.24
1972-12-31,582837973,2.25
1973-12-31,596107483,2.28
1974-12-31,609721951,2.28
1975-12-31,623524219,2.26
1976-12-31,637451448,2.23
1977-12-31,651685628,2.23
1978-12-31,666267760,2.24
1979-12-31,681248383,2.25
1980-12-31,696828385,2.29
1981-12-31,712869298,2.3
1982-12-31,729169466,2.29
1983-12-31,745826546,2.28
1984-12-31,762895156,2.29
1985-12-31,780242084,2.27
1986-12-31,797878993,2.26
1987-12-31,815716125,2.24
1988-12-31,833729681,2.21
1989-12-31,852012673,2.19
1990-12-31,870452165,2.16
1991-12-31,888941756,2.12
1992-12-31,907574049,2.1
1993-12-31,926351297,2.07
1994-12-31,945261958,2.04
1995-12-31,964279129,2.01
1996-12-31,983281218,1.97
1997-12-31,1002335230,1.94
1998-12-31,1021434576,1.91
1999-12-31,1040500054,1.87
2000-12-31,1059633675,1.84
2001-12-31,1078970907,1.82
2002-12-31,1098313039,1.79
2003-12-31,1117415123,1.74
2004-12-31,1136264583,1.69
2005-12-31,1154638713,1.62
2006-12-31,1172373788,1.54
2007-12-31,1189691809,1.48
2008-12-31,1206734806,1.43
2009-12-31,1223640160,1.4
2010-12-31,1240613620,1.39
2011-12-31,1257621191,1.37
2012-12-31,1274487215,1.34
2013-12-31,1291132063,1.31
2014-12-31,1307246509,1.25
2015-12-31,1322866505,1.19
2016-12-31,1338636340,1.19
2017-12-31,1354195680,1.16
2018-12-31,1369003306,1.09
2019-12-31,1383112050,1.03
2020-12-31,1396387127,0.96
2021-12-31,1407563842,0.8
2022-12-31,1417173173,0.68
2023-12-31,1428627663,0.81
2024-12-31,1441719852,0.92
2025-12-31,1454606724,0.89
2026-12-31,1467231210,0.87
2027-12-31,1479578522,0.84
2028-12-31,1491671049,0.82
2029-12-31,1503470597,0.79
2030-12-31,1514994080,0.77
2031-12-31,1526208890,0.74
2032-12-31,1537108035,0.71
2033-12-31,1547689835,0.69
2034-12-31,1557919806,0.66
2035-12-31,1567802259,0.63
2036-12-31,1577302813,0.61
2037-12-31,1586438621,0.58
2038-12-31,1595245783,0.56
2039-12-31,1603664860,0.53
2040-12-31,1611676333,0.5
2041-12-31,1619318360,0.47
2042-12-31,1626585377,0.45
2043-12-31,1633430529,0.42
2044-12-31,1639837771,0.39
2045-12-31,1645863187,0.37
2046-12-31,1651513758,0.34
2047-12-31,1656777045,0.32
2048-12-31,1661705662,0.3
2049-12-31,1666284995,0.28
2050-12-31,1670490596,0.25
2051-12-31,1674343633,0.23
2052-12-31,1677872877,0.21
2053-12-31,1681073168,0.19
2054-12-31,1683955036,0.17
2055-12-31,1686563352,0.15
2056-12-31,1688894376,0.14
2057-12-31,1690942717,0.12
2058-12-31,1692704323,0.1
2059-12-31,1694150261,0.09
2060-12-31,1695285496,0.07
2061-12-31,1696121513,0.05
2062-12-31,1696684915,0.03
2063-12-31,1696976687,0.02
2064-12-31,1696961377,0
2065-12-31,1696634194,-0.02
2066-12-31,1695973647,-0.04
2067-12-31,1694997002,-0.06
2068-12-31,1693712648,-0.08
2069-12-31,1692129032,-0.09
2070-12-31,1690230782,-0.11
2071-12-31,1687990290,-0.13
2072-12-31,1685415100,-0.15
2073-12-31,1682564509,-0.17
2074-12-31,1679449251,-0.19
2075-12-31,1676034859,-0.2
2076-12-31,1672328379,-0.22
2077-12-31,1668352090,-0.24
2078-12-31,1664100421,-0.25
2079-12-31,1659592793,-0.27
2080-12-31,1654856931,-0.29
2081-12-31,1649862775,-0.3
2082-12-31,1644678016,-0.31
2083-12-31,1639364772,-0.32
2084-12-31,1633888926,-0.33
2085-12-31,1628242630,-0.35
2086-12-31,1622427556,-0.36
2087-12-31,1616451904,-0.37
2088-12-31,1610366035,-0.38
2089-12-31,1604195811,-0.38
2090-12-31,1597908861,-0.39
2091-12-31,1591484819,-0.4
2092-12-31,1584943121,-0.41
2093-12-31,1578296205,-0.42
2094-12-31,1571569451,-0.43
2095-12-31,1564797337,-0.43
2096-12-31,1557945219,-0.44
2097-12-31,1551000309,-0.45
2098-12-31,1543990229,-0.45
2099-12-31,1536933462,-0.46
2100-12-31,1529850119,-0.46
